iter	Passed	Remaining
400	25529	6302
401	25584	6236
402	25635	6170
403	25685	6103
404	25735	6036
405	25787	5970
406	25838	5904
407	25888	5837
408	25941	5771
409	25997	5706
410	26054	5642
411	26108	5576
412	26175	5513
413	26227	5448
414	26280	5382
415	26340	5318
416	26396	5253
417	26448	5188
418	26501	5123
419	26551	5057
420	26603	4992
421	26654	4926
422	26705	4861
423	26756	4796
424	26810	4731
425	26863	4666
426	26920	4602
427	26972	4537
428	27024	4472
429	27074	4407
430	27128	4343
431	27179	4278
432	27236	4214
433	27298	4151
434	27356	4087
435	27408	4023
436	27460	3958
437	27513	3894
438	27567	3830
439	27621	3766
440	27672	3702
441	27723	3637
442	27774	3573
443	27825	3509
444	27880	3445
445	27940	3382
446	27996	3319
447	28053	3256
448	28111	3193
449	28163	3129
450	28223	3066
451	28281	3003
452	28351	2941
453	28429	2880
454	28485	2817
455	28548	2754
456	28608	2691
457	28657	2627
458	28706	2564
459	28755	2500
460	28805	2436
461	28856	2373
462	28908	2310
463	28964	2247
464	29047	2186
465	29106	2123
466	29161	2060
467	29211	1997
468	29264	1934
469	29324	1871
470	29382	1809
471	29444	1746
472	29507	1684
473	29564	1621
474	29639	1559
475	29720	1498
476	29783	1436
477	29845	1373
478	29900	1310
479	29942	1247
480	29990	1184
481	30045	1122
482	30112	1059
483	30166	997
484	30223	934
485	30276	872
486	30336	809
487	30403	747
488	30456	685
489	30512	622
490	30565	560
491	30616	497
492	30667	435
493	30721	373
494	30771	310
495	30823	248
496	30877	186
497	30931	124
498	30988	62
499	31046	0
