iter	RMSE
375	17933.32842
376	17908.18916
377	17908.05342
378	17906.83781
379	17894.39613
380	17894.33884
381	17893.24732
382	17880.71347
383	17880.48809
384	17875.22898
385	17874.24361
386	17871.9823
387	17844.1762
388	17843.27914
389	17843.24053
390	17842.46808
391	17840.31442
392	17817.83238
393	17817.20492
394	17806.64806
395	17806.21895
396	17806.18939
397	17802.91543
398	17802.54827
399	17802.5228
400	17801.88045
401	17792.7675
402	17783.58634
403	17772.45196
404	17769.58961
405	17769.38198
406	17768.5016
407	17768.37667
408	17767.66925
409	17760.10071
410	17739.99336
411	17735.74488
412	17728.96709
413	17709.04948
414	17668.99049
415	17652.46537
416	17651.67114
417	17650.88247
418	17650.58318
419	17650.36401
420	17650.3433
421	17635.40962
422	17634.17021
423	17633.4514
424	17632.80126
425	17632.12712
426	17631.77837
427	17631.18987
428	17630.65689
429	17610.66412
430	17609.67915
431	17609.18488
432	17608.73666
433	17608.32996
434	17607.77885
435	17607.46173
436	17605.51046
437	17603.69969
438	17603.41229
439	17603.01946
440	17584.67595
441	17584.40911
442	17583.84561
443	17583.59997
444	17570.50937
445	17570.27164
446	17569.98136
447	17569.21794
448	17568.7588
449	17568.2104
450	17556.36587
451	17555.79897
452	17555.60213
453	17555.42331
454	17538.39987
455	17533.87607
456	17533.18674
457	17522.79036
458	17522.44009
459	17522.02283
460	17521.62773
461	17521.28419
462	17520.9315
463	17520.63292
464	17520.31919
465	17519.69368
466	17519.43741
467	17518.92477
468	17518.87933
469	17518.87261
470	17479.52128
471	17479.37518
472	17478.37846
473	17478.12762
474	17477.99265
475	17445.41826
476	17408.44923
477	17404.87869
478	17392.93795
479	17392.02121
480	17391.22013
481	17391.10343
482	17390.57859
483	17390.31387
484	17390.29348
485	17390.13066
486	17390.12013
487	17380.51136
488	17372.38951
489	17372.18194
490	17361.29205
491	17358.69009
492	17357.96277
493	17343.06894
494	17340.2973
495	17326.74184
496	17326.25743
497	17325.95976
498	17325.94969
499	17315.58221
